iter	Logloss
0	0.6878786337
1	0.6833724382
2	0.6784605215
3	0.673026743
4	0.669166061
5	0.6648462927
6	0.6612956576
7	0.6567460134
8	0.6534384177
9	0.6494285004
10	0.6459400255
11	0.6418874082
12	0.6371689124
13	0.6329548566
14	0.6295352329
15	0.6253906758
16	0.6213476185
17	0.6169001603
18	0.6124830153
19	0.6093882807
20	0.6058696612
21	0.6021759963
22	0.5984566611
23	0.5955407226
24	0.5926370915
25	0.588930311
26	0.5853873261
27	0.5814674142
28	0.5774823889
29	0.5739279788
30	0.570798707
31	0.5669964307
32	0.5642503165
33	0.5604151888
34	0.5575493007
35	0.5545429174
36	0.5513925634
37	0.5483168004
38	0.5447731457
39	0.540966962
40	0.5387065386
41	0.535616318
42	0.5324900355
43	0.5294884475
44	0.526264323
45	0.5233663515
46	0.5204167964
47	0.5178402845
48	0.5152002489
49	0.5127047002
50	0.5105928484
51	0.5080729486
52	0.5049830435
53	0.5028405822
54	0.4993276379
55	0.4966299084
56	0.4945213321
57	0.4920934515
58	0.4896656908
59	0.4870361629
60	0.4844789182
61	0.4817013682
62	0.4800897294
63	0.4780012527
64	0.4759991711
65	0.4738235336
66	0.471832282
67	0.4693717801
68	0.4663174027
69	0.4642097562
70	0.461992948
71	0.4595762334
72	0.4573545583
73	0.4552103963
74	0.4531760765
75	0.4506490407
76	0.4492213308
77	0.447080737
78	0.4450732404
79	0.4429370223
80	0.4406543458
81	0.4388522172
82	0.437051522
83	0.4348788204
84	0.4331731978
85	0.4312352422
86	0.4291525663
87	0.4271270203
88	0.4253963772
89	0.4235145691
90	0.4213438769
91	0.419786024
92	0.4179081855
93	0.4159839331
94	0.4143500109
95	0.4130572636
96	0.4116578137
97	0.4103598473
98	0.4088888732
99	0.4071367257
100	0.4053081735
101	0.4035477296
102	0.4019793825
103	0.4004965615
104	0.3987572401
105	0.3973372992
106	0.3961041545
107	0.3944261894
108	0.392849254
109	0.3915427075
110	0.3901099219
111	0.3887788054
112	0.3874372091
113	0.3864283784
114	0.3849566709
115	0.3833900442
116	0.3818416752
117	0.3800493475
118	0.3785080978
119	0.377321067
120	0.3763295537
121	0.3745230063
122	0.3726561277
123	0.3710820952
124	0.369621215
125	0.3684936714
126	0.3675135863
127	0.3661796203
128	0.3648819157
129	0.3638109759
130	0.3627664704
131	0.3614466415
132	0.3601741503
133	0.3587832446
134	0.3575405461
135	0.3560603892
136	0.3547584507
137	0.3536657774
138	0.3526309817
139	0.3513599826
140	0.3503144849
141	0.3495048349
142	0.3485436272
143	0.3476600487
144	0.3469684596
145	0.3458841995
146	0.3450889838
147	0.3438657248
148	0.3426182326
149	0.3412883231
150	0.3401077233
151	0.3386917689
152	0.3377818729
153	0.3368414523
154	0.3357693148
155	0.3349032603
156	0.3340614155
157	0.3330333274
158	0.3321411866
159	0.3315191297
160	0.3308840905
161	0.3301548823
162	0.3291038459
163	0.3283725289
164	0.3269077744
165	0.3263195105
166	0.325366026
167	0.3240297162
168	0.3230687436
169	0.3221249824
170	0.3214340368
171	0.3206336047
172	0.3193749676
173	0.3183717084
174	0.3175543777
175	0.3167574475
176	0.3162530463
177	0.3152509243
178	0.314358532
179	0.3135510611
180	0.3125712089
181	0.3117216791
182	0.3109021969
183	0.3098037701
184	0.3086741644
185	0.3080997496
186	0.3071900333
187	0.3064344846
188	0.3055091226
189	0.3050620423
190	0.3042857116
191	0.3033735271
192	0.3027856745
193	0.302202023
194	0.3017292095
195	0.300873478
196	0.3002469991
197	0.2994266734
198	0.2987261498
199	0.2981394747
200	0.2974366399
201	0.2964688112
202	0.2957480335
203	0.2947711133
204	0.2941127074
205	0.293379114
206	0.2926322712
207	0.2918373856
208	0.2910696495
209	0.2904971617
210	0.2892698913
211	0.2888146739
212	0.2881349834
213	0.2874640881
214	0.2868544078
215	0.2859624372
216	0.284991588
217	0.2842447978
218	0.2832904655
219	0.2827139642
220	0.2822735378
221	0.2816475603
222	0.281101154
223	0.280242972
